Track,Artist,Genre song,Genre artist,Total Genre
The Heart Of Rock & Roll,Huey Lewis and the News,#N/A,#N/A,#N/A
Adult Education,Daryl Hall & John Oates,#N/A,rock,rock
Joanna,Kool & The Gang,#N/A,#N/A,#N/A
New Moon On Monday,Duran Duran,#N/A,pop,pop
Say It Isn’t So,Daryl Hall & John Oates,#N/A,rock,rock
Think Of Laura,Christopher Cross,#N/A,pop,pop
Union Of The Snake,Duran Duran,#N/A,pop,pop
Desert Moon,Dennis DeYoung,#N/A,#N/A,#N/A
Miss Me Blind,Culture Club,pop,pop,pop
The Glamorous Life,Sheila E.,#N/A,#N/A,#N/A
Nobody Told Me,John Lennon,Soft Rock,#N/A,soft rock
Church Of The Poison Mind,Culture Club,pop,pop,pop
I Guess That’s Why They Call It The Blues,Elton John,#N/A,rock,rock
If Ever You’re In My Arms Again,Peabo Bryson,#N/A,#N/A,#N/A
Better Be Good To Me,Tina Turner,#N/A,pop,pop
Rock Me Tonite,Billy Squier,#N/A,rock,rock
State Of Shock,The Jacksons featuring Mick Jagger,#N/A,#N/A,#N/A
Undercover Of The Night,The Rolling Stones,#N/A,rock,rock
Almost Paradise,Mike Reno and Ann Wilson,#N/A,#N/A,#N/A
I’ll Wait,Van Halen,#N/A,rock,rock
Running With The Night,Lionel Richie,#N/A,rock,rock
Breakdance,Irene Cara,#N/A,pop,pop
I’m So Excited,The Pointer Sisters,#N/A,pop,pop
Twist Of Fate,Olivia Newton-John,#N/A,pop,pop
Breakin’… There’s No Stopping Us,Ollie & Jerry,#N/A,#N/A,#N/A
The Language Of Love,Dan Fogelberg,#N/A,country,country
To All The Girls I’ve Loved Before,Julio Iglesias and Willie Nelson,#N/A,#N/A,#N/A
What’s Love Got To Do With It,Tina Turner,#N/A,pop,pop
Let’s Go Crazy,Prince and The Revolution,#N/A,#N/A,#N/A
I Still Can’t Get Over Loving You,Ray Parker Jr.,#N/A,#N/A,#N/A
Take On Me,a-ha,pop,pop,pop
Everybody Wants To Rule The World,Tears for Fears,pop,pop,pop
Dancing In The Street,Mick Jagger & David Bowie,rock,#N/A,rock
Summer Of ’69,Bryan Adams,#N/A,pop,pop
Crazy For You,Madonna,#N/A,pop,pop
Careless Whisper,Wham! featuring George Michael,soul,#N/A,soul
I Want To Know What Love Is,Foreigner,#N/A,rock,rock
Smooth Operator,Sade,#N/A,#N/A,#N/A
Fresh,Kool & the Gang,#N/A,#N/A,#N/A
Walking On Sunshine,Katrina and the Waves,#N/A,#N/A,#N/A
The Boys Of Summer,Don Henley,#N/A,pop,pop
Born In The U.S.A.,Bruce Springsteen,#N/A,rock,rock
I’m On Fire,Bruce Springsteen,#N/A,rock,rock
Suddenly,Billy Ocean,jazz,pop,jazz
You’re The Inspiration,Chicago,#N/A,rock,rock
Angel,Madonna,rock,pop,rock
Easy Lover,Philip Bailey and Phil Collins,#N/A,#N/A,#N/A
The Power Of Love,Huey Lewis and the News,#N/A,#N/A,#N/A
We Built This City,Starship,#N/A,pop,pop
Invincible,Pat Benatar,pop,pop,pop
Can’t Fight This Feeling,REO Speedwagon,#N/A,rock,rock
Run To You,Bryan Adams,#N/A,pop,pop
Shout,Tears for Fears,pop,pop,pop
Material Girl,Madonna,pop,pop,pop
All I Need,Jack Wagner,#N/A,#N/A,#N/A
Glory Days,Bruce Springsteen,#N/A,rock,rock
One More Night,Phil Collins,rock,rock,rock
Heaven,Bryan Adams,pop,pop,pop
Axel F,Harold Faltermeyer,#N/A,#N/A,#N/A
Head Over Heels,Tears for Fears,pop,pop,pop
Part-Time Lover,Stevie Wonder,R&B,#N/A,r&b
We Belong,Pat Benatar,pop,pop,pop
Like A Virgin,Madonna,#N/A,pop,pop
Missing You,Diana Ross,rock,rock,rock
Saving All My Love For You,Whitney Houston,#N/A,pop,pop
Everything She Wants,Wham!,#N/A,pop,pop
Loverboy,Billy Ocean,pop,pop,pop
Sussudio,Phil Collins,#N/A,rock,rock
Freedom,Wham!,#N/A,pop,pop
Money For Nothing,Dire Straits,#N/A,rock,rock
Out Of Touch,Daryl Hall & John Oates,rock,rock,rock
St. Elmo’s Fire (MAN In Motion),John Parr,#N/A,#N/A,#N/A
We Are The World,USA for Africa,gospel,#N/A,gospel
Would I Lie To You?,Eurythmics,#N/A,pop,pop
A View To A Kill,Duran Duran,#N/A,pop,pop
Raspberry Beret,Prince and The Revolution,#N/A,#N/A,#N/A
The Heat Is On,Glenn Frey,#N/A,pop,pop
We Don’t Need Another Hero,Tina Turner,#N/A,pop,pop
Cherish,Kool & the Gang,#N/A,#N/A,#N/A
What About Love,Heart,#N/A,pop,pop
California Girls,David Lee Roth,#N/A,rock,rock
Sea Of Love,The Honeydrippers,#N/A,#N/A,#N/A
Separate Lives,Phil Collins and Marilyn Martin,pop,#N/A,pop
Private Dancer,Tina Turner,#N/A,pop,pop
I Feel For You,Chaka Khan,#N/A,pop,pop
Dare Me,The Pointer Sisters,#N/A,pop,pop
I Would Die 4 U,Prince,#N/A,rock,rock
In My House,Mary Jane Girls,#N/A,#N/A,#N/A
Rhythm Of The Night,DeBarge,#N/A,#N/A,#N/A
Voices Carry,‘Til Tuesday,pop,#N/A,pop
If You Love Somebody Set Them Free,Sting,#N/A,rock,rock
The Wild Boys,Duran Duran,#N/A,pop,pop
All She Wants To Do Is Dance,Don Henley,#N/A,pop,pop
Obsession,Animotion,#N/A,#N/A,#N/A
Things Can Only Get Better,Howard Jones,#N/A,pop,pop
Cool It Now,New Edition,#N/A,pop,pop
Nightshift,Commodores,rock,rock,rock
You Belong To The City,Glenn Frey,#N/A,pop,pop
You Give Good Love,Whitney Houston,#N/A,pop,pop
Oh Sheila,Ready for the World,#N/A,#N/A,#N/A
Too Late For Goodbyes,Julian Lennon,#N/A,#N/A,#N/A
Lay Your Hands On Me,Thompson Twins,pop,pop,pop
Lovin’ Every Minute Of It,Loverboy,#N/A,pop,pop
Neutron Dance,The Pointer Sisters,pop,pop,pop
Never Surrender,Corey Hart,#N/A,#N/A,#N/A
No More Lonely Nights,Paul McCartney,rock,rock,rock
The Search Is Over,Survivor,rock,rock,rock
Dress You Up,Madonna,#N/A,pop,pop
One Night In Bangkok,Murray Head,#N/A,#N/A,#N/A
Fortress Around Your Heart,Sting,#N/A,rock,rock
Lonely Ol’ Night,John Cougar Mellencamp,#N/A,#N/A,#N/A
Some Like It Hot,Power Station,#N/A,#N/A,#N/A
Lovergirl,Teena Marie,#N/A,#N/A,#N/A
Everytime You Go Away,Paul Young,rock,pop,rock
Freeway Of Love,Aretha Franklin,#N/A,blues,blues
Smuggler’s Blues,Glenn Frey,#N/A,pop,pop
Misled,Kool & the Gang,#N/A,#N/A,#N/A
Pop Life,Prince & the Revolution,rock,#N/A,rock
Get It On (BANG A Gong),Power Station,#N/A,#N/A,#N/A
Sugar Walls,Sheena Easton,pop,pop,pop
Sugar Walls,Sheena Easton,pop,pop,pop
Be Near Me,ABC,pop,pop,pop
Miami Vice Theme,Jan Hammer,#N/A,#N/A,#N/A
Method Of Modern Love,Daryl Hall & John Oates,rock,rock,rock
Sentimental Street,Night Ranger,#N/A,rock,rock
Valotte,Julian Lennon,#N/A,#N/A,#N/A
Don’t You (FORGET About Me),Simple Minds,#N/A,pop,pop
Don’t Lose My Number,Phil Collins,#N/A,rock,rock
Who’s Holding Donna Now,DeBarge,#N/A,#N/A,#N/A
You’re Only Human (SECOND Wind),Billy Joel,#N/A,rock,rock
I’m Your Man,Wham!,#N/A,pop,pop
Nasty,Janet Jackson,#N/A,pop,pop
You Give Love A Bad Name,Bon Jovi,#N/A,rock,rock
Kiss,Prince and The Revolution,rock,#N/A,rock
Something About You,Level 42,pop,pop,pop
Your Love,The Outfield,pop,pop,pop
I Miss You,Klymaxx,#N/A,#N/A,#N/A
Human,The Human League,pop,pop,pop
My Hometown,Bruce Springsteen,#N/A,rock,rock
Stuck With You,Huey Lewis and the News,#N/A,#N/A,#N/A
Baby Love,Regina,reggae,#N/A,reggae
Heartbeat,Don Johnson,#N/A,#N/A,#N/A
Sara,Starship,#N/A,pop,pop
Danger Zone,Kenny Loggins,#N/A,pop,pop
Higher Love,Steve Winwood,pop,pop,pop
King For A Day,Thompson Twins,pop,pop,pop
If You Leave,Orchestral Manoeuvres in the Dark,#N/A,pop,pop
Walk This Way,Run–D.M.C. featuring Aerosmith,#N/A,#N/A,#N/A
On My Own,Patti LaBelle and Michael McDonald,blues,#N/A,blues
Take My Breath Away,Berlin,pop,pop,pop
Burning Heart,Survivor,rock,rock,rock
Glory Of Love,Peter Cetera,pop,pop,pop
Take Me Home,Phil Collins,country,rock,country
How Will I Know,Whitney Houston,#N/A,pop,pop
Invisible Touch,Genesis,rock,rock,rock
West End Girls,Pet Shop Boys,#N/A,pop,pop
What You Need,INXS,#N/A,pop,pop
Broken Wings,Mr. Mister,#N/A,#N/A,#N/A
I Can’t Wait,Nu Shooz,#N/A,#N/A,#N/A
True Colors,Cyndi Lauper,pop,pop,pop
Holding Back The Years,Simply Red,pop,pop,pop
Sweet Love,Anita Baker,jazz,#N/A,jazz
Take Me Home Tonight,Eddie Money,#N/A,pop,pop
Venus,Bananarama,#N/A,#N/A,#N/A
Greatest Love Of All,Whitney Houston,pop,pop,pop
Nikita,Elton John,#N/A,rock,rock
Friends And Lovers,Gloria Loring and Carl Anderson,#N/A,#N/A,#N/A
The Sweetest Taboo,Sade,#N/A,#N/A,#N/A
Alive And Kicking,Simple Minds,#N/A,pop,pop
Bad Boy,Miami Sound Machine,#N/A,pop,pop
Dancing On The Ceiling,Lionel Richie,#N/A,rock,rock
"Say You, Say Me",Lionel Richie,#N/A,rock,rock
Small Town,John Cougar Mellencamp,#N/A,#N/A,#N/A
Word Up!,Cameo,#N/A,#N/A,#N/A
Addicted To Love,Robert Palmer,#N/A,pop,pop
Conga,Miami Sound Machine,#N/A,pop,pop
Rock Me Amadeus,Falco,#N/A,#N/A,#N/A
These Dreams,Heart,#N/A,pop,pop
Why Can’t This Be Love,Van Halen,#N/A,rock,rock
Papa Don’t Preach,Madonna,#N/A,pop,pop
Rumors,Timex Social Club,#N/A,#N/A,#N/A
True Blue,Madonna,country,pop,country
Amanda,Boston,rock,rock,rock
Talk To Me,Stevie Nicks,#N/A,rock,rock
Tonight She Comes,The Cars,#N/A,pop,pop
Two Of Hearts,Stacey Q,#N/A,#N/A,#N/A
Walk Of Life,Dire Straits,#N/A,rock,rock
R.O.C.K. In The U.S.A.,John Cougar Mellencamp,rock,#N/A,rock
Tender Love,Force MDs,#N/A,#N/A,#N/A
Go Home,Stevie Wonder,soul,#N/A,soul
Separate Lives,Phil Collins & Marilyn Martin,pop,#N/A,pop
"When The Going Gets Tough, The Tough Get Going",Billy Ocean,#N/A,pop,pop
Live To Tell,Madonna,#N/A,pop,pop
Party All The Time,Eddie Murphy,#N/A,#N/A,#N/A
Throwing It All Away,Genesis,rock,rock,rock
Manic Monday,The Bangles,#N/A,pop,pop
Sledgehammer,Peter Gabriel,#N/A,pop,pop
We Don’t Have To Take Our Clothes Off,Jermaine Stewart,#N/A,#N/A,#N/A
Is It Love,Mr. Mister,#N/A,#N/A,#N/A
Living In America,James Brown,#N/A,#N/A,#N/A
When I Think Of You,Janet Jackson,#N/A,pop,pop
Kyrie,Mr. Mister,#N/A,#N/A,#N/A
Life In A Northern Town,Dream Academy,#N/A,#N/A,#N/A
Your Wildest Dreams,Moody Blues,#N/A,#N/A,#N/A
A Different Corner,George Michael,pop,pop,pop
Crush On You,The Jets,#N/A,#N/A,#N/A
Secret Lovers,Atlantic Starr,#N/A,#N/A,#N/A
That’s What Friends Are For,"Dionne Warwick featuring Gladys Knight, Elton John and Stevie Wonder",R&B,#N/A,r&b
Harlem Shuffle,the Rolling Stones,#N/A,rock,rock
Sweet Freedom,Michael McDonald,#N/A,rock,rock
All I Need Is A Miracle,Mike + The Mechanics,#N/A,#N/A,#N/A
No One Is To Blame,Howard Jones,pop,pop,pop
Typical Male,Tina Turner,pop,pop,pop
Mad About You,Belinda Carlisle,#N/A,pop,pop
What Have You Done For Me Lately,Janet Jackson,#N/A,pop,pop
Words Get In The Way,Miami Sound Machine,pop,pop,pop
Love Touch,Rod Stewart,#N/A,rock,rock
All Cried Out,Lisa Lisa and Cult Jam,#N/A,#N/A,#N/A
I Didn’t Mean To Turn You On,Robert Palmer,#N/A,pop,pop
Love Zone,Billy Ocean,#N/A,pop,pop
Tuff Enuff,Fabulous Thunderbirds,#N/A,#N/A,#N/A
A Love Bizarre,Sheila E.,#N/A,#N/A,#N/A
Who’s Johnny,El DeBarge,#N/A,#N/A,#N/A
This Could Be The Night,Loverboy,#N/A,pop,pop
Dreamtime,Daryl Hall,#N/A,#N/A,#N/A
Let’s Go All The Way,Sly Fox,#N/A,#N/A,#N/A
Silent Running (ON Dangerous Ground),Mike + The Mechanics,#N/A,#N/A,#N/A
Spies Like Us,Paul McCartney,#N/A,rock,rock
Don’t Forget Me (WHEN I’m Gone),Glass Tiger,#N/A,#N/A,#N/A
There’ll Be Sad Songs (TO Make You Cry),Billy Ocean,#N/A,pop,pop
Control,Janet Jackson,#N/A,pop,pop
Livin’ On A Prayer,Bon Jovi,#N/A,rock,rock
I Wanna Dance With Somebody (WHO Loves Me),Whitney Houston,#N/A,pop,pop
Bad,Michael Jackson,rock,pop,rock
Sign O’ The Times,Prince,#N/A,rock,rock
Nothing’s Gonna Stop Us Now,Starship,#N/A,pop,pop
Always,Atlantic Starr,country,#N/A,country
Love You Down,Ready for the World,#N/A,#N/A,#N/A
With Or Without You,U2,rock,rock,rock
(I Just) Died In Your Arms,Cutting Crew,#N/A,pop,pop
Is This Love,Survivor,blues,rock,blues
You Got It All,The Jets,#N/A,#N/A,#N/A
Come Go With Me,Exposé,#N/A,pop,pop
Lean On Me,Club Nouveau,#N/A,#N/A,#N/A
Little Lies,Fleetwood Mac,#N/A,rock,rock
The Lady In Red,Chris de Burgh,#N/A,pop,pop
Wanted Dead Or Alive,Bon Jovi,#N/A,rock,rock
In Too Deep,Genesis,country,rock,country
Stand By Me,Ben E. King,#N/A,#N/A,#N/A
Alone,Heart,#N/A,pop,pop
La Isla Bonita,Madonna,#N/A,pop,pop
Someday,Glass Tiger,#N/A,#N/A,#N/A
Diamonds,Herb Alpert,#N/A,jazz,jazz
Something So Strong,Crowded House,pop,pop,pop
Head To Toe,Lisa Lisa and Cult Jam,#N/A,#N/A,#N/A
I Want Your Sex,George Michael,#N/A,pop,pop
Let’s Go,Wang Chung,#N/A,pop,pop
C’est La Vie,Robbie Nevil,#N/A,#N/A,#N/A
War,Bruce Springsteen,pop,rock,pop
Notorious,Duran Duran,#N/A,pop,pop
The Way It Is,Bruce Hornsby and the Range,rock,#N/A,rock
"Tonight, Tonight, Tonight",Genesis,rock,rock,rock
Who’s That Girl,Madonna,#N/A,pop,pop
Big Time,Peter Gabriel,#N/A,pop,pop
It’s A Sin,Pet Shop Boys,#N/A,pop,pop
La Bamba,Los Lobos,#N/A,rock,rock
Only In My Dreams,Debbie Gibson,pop,pop,pop
Songbird,Kenny G,#N/A,jazz,jazz
I Still Haven’t Found What I’m Looking For,U2,#N/A,rock,rock
Keep Your Hands To Yourself,Georgia Satellites,#N/A,#N/A,#N/A
Mony Mony,Billy Idol,#N/A,pop,pop
You Keep Me Hangin’ On,Kim Wilde,#N/A,pop,pop
Here I Go Again,Whitesnake,#N/A,blues,blues
I Knew You Were Waiting (FOR Me),Aretha Franklin and George Michael,R&B,#N/A,r&b
Land Of Confusion,Genesis,rock,rock,rock
Walk Like An Egyptian,The Bangles,#N/A,pop,pop
Will You Still Love Me?,Chicago,rock,rock,rock
Breakout,Swing Out Sister,#N/A,pop,pop
I Just Can’t Stop Loving You,Michael Jackson with Siedah Garrett,#N/A,#N/A,#N/A
Somewhere Out There,Linda Ronstadt and James Ingram,#N/A,#N/A,#N/A
Victory,Kool & the Gang,#N/A,#N/A,#N/A
Funkytown,Pseudo Echo,#N/A,#N/A,#N/A
Shake You Down,Gregory Abbott,#N/A,#N/A,#N/A
Brilliant Disguise,Bruce Springsteen,#N/A,rock,rock
Big Love,Fleetwood Mac,#N/A,rock,rock
Heart And Soul,T’Pau,pop,#N/A,pop
Meet Me Half Way,Kenny Loggins,pop,pop,pop
Open Your Heart,Madonna,pop,pop,pop
Casanova,LeVert,#N/A,#N/A,#N/A
Shakedown,Bob Seger,#N/A,rock,rock
Everybody Have Fun Tonight,Wang Chung,#N/A,pop,pop
Ballerina Girl,Lionel Richie,rock,rock,rock
I Think We’re Alone Now,Tiffany,#N/A,pop,pop
Touch Me (I Want Your Body),Samantha Fox,#N/A,pop,pop
Wipe Out,Fat Boys & the Beach Boys,#N/A,#N/A,#N/A
Just To See Her,Smokey Robinson,Soul,#N/A,soul
Mandolin Rain,Bruce Hornsby and the Range,pop,#N/A,pop
Paper In Fire,John Cougar Mellencamp,pop,#N/A,pop
(I’VE Had) The Time Of My Life,Bill Medley and Jennifer Warnes,#N/A,#N/A,#N/A
Midnight Blue,Lou Gramm,#N/A,#N/A,#N/A
Point Of No Return,Exposé,#N/A,pop,pop
Rock Steady,The Whispers,rock,rock,rock
Don’t Disturb This Groove,The System,#N/A,#N/A,#N/A
Respect Yourself,Bruce Willis,#N/A,#N/A,#N/A
I Heard A Rumour,Bananarama,#N/A,#N/A,#N/A
Luka,Suzanne Vega,#N/A,pop,pop
When Smokey Sings,ABC,pop,pop,pop
Who Will You Run To,Heart,#N/A,pop,pop
Doing It All For My Baby,Huey Lewis and the News,#N/A,#N/A,#N/A
Rhythm Is Gonna Get You,Gloria Estefan and Miami Sound Machine,pop,pop,pop
Causing A Commotion,Madonna,#N/A,pop,pop
U Got The Look,Prince,#N/A,rock,rock
Right On Track,Breakfast Club,#N/A,#N/A,#N/A
Nothing’s Gonna Change My Love For You,Glenn Medeiros,#N/A,rock,rock
The Finer Things,Steve Winwood,pop,pop,pop
Lost In Emotion,Lisa Lisa and Cult Jam,#N/A,#N/A,#N/A
Change Of Heart,Cyndi Lauper,country,pop,country
Let Me Be The One,Exposé,#N/A,pop,pop
Looking For A New Love,Jody Watley,#N/A,pop,pop
(YOU Gotta) Fight For Your Right (TO Party!),Beastie Boys,#N/A,rock,rock
At This Moment,Billy Vera and the Beaters,#N/A,#N/A,#N/A
Can’t We Try,Dan Hill featuring Vonda Shepard,#N/A,#N/A,#N/A
Heat Of The Night,Bryan Adams,#N/A,pop,pop
Don’t Mean Nothing,Richard Marx,#N/A,pop,pop
Cross My Broken Heart,The Jets,#N/A,#N/A,#N/A
Don’t Dream It’s Over,Crowded House,#N/A,pop,pop
Jacob’s Ladder,Huey Lewis and the News,#N/A,#N/A,#N/A
Carrie,Europe,#N/A,rock,rock
Didn’t We Almost Have It All,Whitney Houston,#N/A,pop,pop
Let’s Wait Awhile,Janet Jackson,#N/A,pop,pop
Red Red Wine,UB40,#N/A,reggae,reggae
Sweet Child O’ Mine,Guns N’ Roses,Rock,#N/A,rock
Fast Car,Tracy Chapman,#N/A,pop,pop
Wait,White Lion,#N/A,rock,rock
Never Gonna Give You Up,Rick Astley,#N/A,pop,pop
Is This Love,Whitesnake,blues,blues,blues
Faith,George Michael,#N/A,pop,pop
Hungry Eyes,Eric Carmen,#N/A,#N/A,#N/A
Wishing Well,Terence Trent D’Arby,pop,#N/A,pop
Got My Mind Set On You,George Harrison,rock,rock,rock
Angel,Aerosmith,rock,rock,rock
Girlfriend,Pebbles,#N/A,#N/A,#N/A
Pour Some Sugar On Me,Def Leppard,#N/A,rock,rock
Kokomo,The Beach Boys,#N/A,#N/A,#N/A
The Way You Make Me Feel,Michael Jackson,#N/A,pop,pop
Monkey,George Michael,#N/A,pop,pop
Nothin’ But A Good Time,Poison,#N/A,rock,rock
Candle In The Wind,Elton John,#N/A,rock,rock
Cherry Bomb,John Cougar Mellencamp,pop,#N/A,pop
I Hate Myself For Loving You,Joan Jett and the Blackhearts,#N/A,Rock,rock
Pink Cadillac,Natalie Cole,pop,pop,pop
She’s Like The Wind,Patrick Swayze featuring Wendy Fraser,#N/A,#N/A,#N/A
Tell It To My Heart,Taylor Dayne,#N/A,pop,pop
Together Forever,Rick Astley,pop,pop,pop
Dirty Diana,Michael Jackson,pop,pop,pop
Man In The Mirror,Michael Jackson,#N/A,pop,pop
Need You Tonight,INXS,#N/A,pop,pop
Perfect World,Huey Lewis and the News,#N/A,#N/A,#N/A
Love Bites,Def Leppard,rock,rock,rock
The Flame,Cheap Trick,#N/A,pop,pop
Where Do Broken Hearts Go,Whitney Houston,#N/A,pop,pop
Always On My Mind,Pet Shop Boys,#N/A,pop,pop
Shattered Dreams,Johnny Hates Jazz,pop,pop,pop
1-2-2003,Gloria Estefan and Miami Sound Machine,pop,#N/A,pop
Father Figure,George Michael,#N/A,pop,pop
I Found Someone,Cher,#N/A,pop,pop
Never Tear Us Apart,INXS,pop,pop,pop
Anything For You,Gloria Estefan and Miami Sound Machine,#N/A,#N/A,#N/A
I Want Her,Keith Sweat,#N/A,#N/A,#N/A
What Have I Done To Deserve This?,Pet Shop Boys with Dusty Springfield,#N/A,#N/A,#N/A
New Sensation,INXS,#N/A,pop,pop
The Loco-Motion,Kylie Minogue,#N/A,pop,pop
Two Occasions,the Deele,#N/A,#N/A,#N/A
Endless Summer Nights,Richard Marx,#N/A,pop,pop
"Get Outta My Dreams, Get Into My Car",Billy Ocean,#N/A,pop,pop
One More Try,George Michael,#N/A,pop,pop
Sign Your Name,Terence Trent D’Arby,#N/A,#N/A,#N/A
When It’s Love,Van Halen,#N/A,rock,rock
A Groovy Kind Of Love,Phil Collins,#N/A,rock,rock
Electric Blue,Icehouse,#N/A,#N/A,#N/A
I Don’t Want To Live Without You,Foreigner,#N/A,rock,rock
Just Like Paradise,David Lee Roth,#N/A,rock,rock
Nite And Day,Al B. Sure!,#N/A,pop,pop
One Moment In Time,Whitney Houston,#N/A,pop,pop
Make Me Lose Control,Eric Carmen,#N/A,#N/A,#N/A
Out Of The Blue,Debbie Gibson,jazz,pop,jazz
Roll With It,Steve Winwood,#N/A,pop,pop
Foolish Beat,Debbie Gibson,pop,pop,pop
I Still Believe,Brenda K. Starr,#N/A,#N/A,#N/A
Rush Hour,Jane Wiedlin,#N/A,pop,pop
Say You Will,Foreigner,rock,rock,rock
Hands To Heaven,Breathe,#N/A,#N/A,#N/A
I Don’t Wanna Go On With You Like That,Elton John,#N/A,rock,rock
I Want To Be Your Man,Roger Troutman,#N/A,#N/A,#N/A
Simply Irresistible,Robert Palmer,#N/A,pop,pop
"Don’t Worry, Be Happy",Bobby McFerrin,reggae,#N/A,reggae
Hold On To The Nights,Richard Marx,pop,pop,pop
Make It Real,The Jets,dance/electronics,#N/A,dance
A Hazy Shade Of Winter,The Bangles,#N/A,pop,pop
Devil Inside,INXS,pop,pop,pop
Please Don’t Go Girl,New Kids on the Block,#N/A,pop,pop
"Wild, Wild West",The Escape Club,#N/A,#N/A,#N/A
Piano In The Dark,Brenda Russell featuring Joe Esposito,jazz,#N/A,jazz
Seasons Change,Exposé,pop,pop,pop
Catch Me (I’M Falling),Pretty Poison,#N/A,#N/A,#N/A
Don’t You Want Me,Jody Watley,#N/A,pop,pop
The Valley Road,Bruce Hornsby and the Range,#N/A,#N/A,#N/A
Don’t Shed A Tear,Paul Carrack,#N/A,#N/A,#N/A
One Good Woman,Peter Cetera,#N/A,pop,pop
Shake Your Love,Debbie Gibson,#N/A,pop,pop
Circle In The Sand,Belinda Carlisle,#N/A,pop,pop
Mercedes Boy,Pebbles,#N/A,#N/A,#N/A
Nobody’s Fool,Kenny Loggins,#N/A,pop,pop
Everything Your Heart Desires,Daryl Hall & John Oates,#N/A,rock,rock
I Could Never Take The Place Of Your Man,Prince,#N/A,rock,rock
I Get Weak,Belinda Carlisle,pop,pop,pop
Rocket 2 U,The Jets,dance,#N/A,dance
Naughty Girls (NEED Love Too),Samantha Fox,#N/A,pop,pop
Bad Medicine (#1*),Bon Jovi,#N/A,rock,rock
Don’t You Know What The Night Can Do?,Steve Winwood,#N/A,pop,pop
I Don’t Wanna Live Without Your Love,Chicago,#N/A,rock,rock
Don’t Be Cruel,Cheap Trick,#N/A,pop,pop
Don’t Be Cruel,Bobby Brown,#N/A,pop,pop
I’ll Always Love You,Taylor Dayne,#N/A,pop,pop
Could’ve Been,Tiffany,#N/A,pop,pop
If It Isn’t Love,New Edition,#N/A,pop,pop
Prove Your Love,Taylor Dayne,#N/A,pop,pop
What’s On Your Mind (PURE Energy),Information Society,#N/A,pop,pop
Can’t Stay Away From You,Gloria Estefan and Miami Sound Machine,pop,#N/A,pop
Stand,R.E.M.,#N/A,pop,pop
Wild Thing,Tone Lōc,#N/A,#N/A,#N/A
Welcome To The Jungle,Guns N’ Roses,rock,#N/A,rock
Friends,Jody Watley with Eric B. & Rakim,r&b,#N/A,r&b
Paradise City,Guns N’ Roses,Rock,#N/A,rock
Real Love,Jody Watley,pop,pop,pop
I Like It,Dino,#N/A,#N/A,#N/A
After All,Cher and Peter Cetera,jazz,#N/A,jazz
So Alive,Love and Rockets,pop,pop,pop
Right Here Waiting,Richard Marx,pop,pop,pop
Like A Prayer,Madonna,#N/A,pop,pop
Smooth Criminal,Michael Jackson,#N/A,pop,pop
She Drives Me Crazy,Fine Young Cannibals,#N/A,pop,pop
The Look,Roxette,#N/A,pop,pop
18 And Life,Skid Row,rock,rock,rock
Patience,Guns N’ Roses,Rock,#N/A,rock
Heaven,Warrant,pop,rock,pop
Every Rose Has Its Thorn,Poison,#N/A,rock,rock
If I Could Turn Back Time,Cher,#N/A,pop,pop
Love Shack,The B-52s,blues,#N/A,blues
Dr. Feelgood,Motley Crue,#N/A,#N/A,#N/A
Rock On,Michael Damian,#N/A,#N/A,#N/A
Rock Wit’cha,Bobby Brown,#N/A,pop,pop
Satisfied,Richard Marx,#N/A,pop,pop
Second Chance,.38 Special,#N/A,#N/A,#N/A
Dreamin’,Vanessa Williams,#N/A,#N/A,#N/A
Lost In Your Eyes,Debbie Gibson,#N/A,pop,pop
Lovesong,The Cure,#N/A,rock,rock
Walking Away,Information Society,pop,pop,pop
Straight Up,Paula Abdul,pop,pop,pop
When I’m With You,Sheriff,#N/A,#N/A,#N/A
Bust A Move,Young MC,#N/A,#N/A,#N/A
Every Little Step,Bobby Brown,pop,pop,pop
Good Thing,Fine Young Cannibals,pop,pop,pop
Angel Eyes,The Jeff Healey Band,#N/A,blues,blues
I Drove All Night,Cyndi Lauper,#N/A,pop,pop
Sowing The Seeds Of Love,Tears for Fears,#N/A,pop,pop
What I Am,Edie Brickell & New Bohemians,#N/A,pop,pop
Miss You Like Crazy,Natalie Cole,pop,pop,pop
When I See You Smile,Bad English,#N/A,rock,rock
Born To Be My Baby,Bon Jovi,#N/A,rock,rock
Cherish,Madonna,#N/A,pop,pop
Toy Soldiers,Martika,pop,pop,pop
Waiting For A Star To Fall,Boy Meets Girl,pop,pop,pop
Express Yourself,Madonna,#N/A,pop,pop
All This Time,Tiffany,pop,pop,pop
Close My Eyes Forever,Lita Ford and Ozzy Osbourne,rock,#N/A,rock
If You Don’t Know Me By Now,Simply Red,#N/A,pop,pop
My Prerogative,Bobby Brown,#N/A,pop,pop
The End Of The Innocence,Don Henley,#N/A,pop,pop
Wind Beneath My Wings,Bette Midler,#N/A,#N/A,#N/A
Funky Cold Medina,Tone Lōc,#N/A,#N/A,#N/A
"Once Bitten, Twice Shy",Great White,#N/A,rock,rock
Soldier Of Love,Donny Osmond,#N/A,#N/A,#N/A
Girl You Know It’s True,Milli Vanilli,#N/A,#N/A,#N/A
Listen To Your Heart,Roxette,pop,pop,pop
When The Children Cry,White Lion,#N/A,rock,rock
Armageddon It,Def Leppard,#N/A,rock,rock
Eternal Flame,The Bangles,#N/A,pop,pop
